APURCH,unique,age,gendf,gendm,pcode,atmcrd,paydep,BALCHQ,BALSAV,TOTDEP,BALLOAN,BALLOC,BALMRGG,NEWLOC,NEWMRGG,TXBRAN,TXATM,TXPOS,TXCHQ,TXWEB,TXTEL,TOTSERV,CH_NM_SERV,CH_NM_PRD,valsegm,N_IND_INC_,numrr_1,numcon_1,avginc_1,avginv_1
Y,6320,66,0,1,V3J5W7,1,0,1264.685833,0,1342.764167,,10773.26667,,0,0,1.166666667,0.25,5.583333333,0.583333333,0.083333333,0,4,0,2,D,660,300,2198,39845.45455,3917.948718
Y,6323,43,0,1,V2V2V4,1,1,366.1816667,0.005,9719.648333,17956.32167,437.7558333,,0,0,0.75,5.416666667,52,3.75,9.416666667,0,5.3,-1,-4,C,630,230,928,30939.68254,2673.913044
Y,6325,45,1,0,V7R3P5,1,0,13.11166667,0,74.31833333,,432.0116667,,0,0,0.25,1.75,3.333333333,0,0,0,4,0,0,D,580,250,1601,39991.37931,6257.894737
N,6327,43,0,1,V3S8N6,1,0,2097.131667,,50807.3775,,1100.008333,458607.7492,0,0,1.5,3.25,0,1.166666667,0,0,5,0,-4,A,1180,480,2163,32962.71186,5311.320755
N,6329,62,0,1,V3B6H3,1,1,1588.676667,0,6919.971667,718.125,1392.1375,180936.7517,0,0,0.5,4.833333333,0,3.416666667,4.583333333,0,6,0,-1,B,390,160,717,37979.48718,1605.882353
N,6333,57,0,1,V5Z4A4,1,0,2327.173333,,3856.183333,,206.7425,,0,0,1.916666667,6.166666667,28.58333333,4.916666667,0.833333333,0,3.3,-1,-2,D,630,310,1881,45053.96825,7097.560976
Y,6334,46,0,1,V3W0S3,1,0,1723.6575,0,2345.9225,,0,93995.32833,0,0,3.166666667,0,0.083333333,0.666666667,0,0,5,0,0,D,1380,520,2266,30894.2029,2150.793651
N,6337,45,0,1,V5B2W7,1,1,0,,196.7025,,134335.0917,69093.50083,0,0,1.333333333,9.083333333,0,7.666666667,0,0,4,0,0,A,640,280,1237,27843.75,3814.583333
N,6339,29,1,0,V3B5R4,1,1,4963.721667,,5019.311667,,,,0,0,0.083333333,2,4.916666667,0.083333333,1.916666667,0,2,0,0,D,420,170,633,30690.47619,2618.75
Y,6344,53,0,1,V5T2N5,1,0,5635.565,,5728.92,,,,0,0,0.916666667,2.083333333,7.833333333,0.666666667,0.416666667,0,2,0,0,D,690,290,1107,24537.68116,2120
N,6346,40,0,1,V3T2M4,1,1,0,,10068.5675,11334.27417,920.4858333,,0,0,3.5,8.5,6.083333333,2.416666667,0.666666667,0.083333333,5,0,0,C,900,120,378,24564.44444,1407.142857
Y,6351,47,0,1,V5H2P8,1,0,52.82166667,,406.2166667,,474.4233333,90211.2925,0,0,0.083333333,2.166666667,0,0,0,0,4,0,0,C,460,170,672,26513.04348,3686.666667
Y,6354,47,0,1,V6V2P8,1,0,6013.930833,1244.9675,14480.77833,,,,0,0,5.166666667,4.083333333,2.583333333,5.083333333,0,0,4,0,0,D,980,430,2156,30552.04082,2707.017544
Y,6357,33,0,1,V8N3P7,1,1,3003.4725,2.916666667,3130.448333,,4460.839167,195529.1418,0,0,0.916666667,12.16666667,79.83333333,3.833333333,9.083333333,0,5,0,-1,A,570,240,1379,35445.61404,5688.372093
N,6361,57,0,1,V7E6J5,1,0,661.8183333,,762.7583333,,,61808.76833,0,0,1.416666667,0,0,0.583333333,0,0,3,0,0,C,720,390,3189,43193.05556,4010.169492
N,6365,50,0,1,V3M2X6,1,0,0,,216.52,,36933.33333,,0,0,0.416666667,0.916666667,0,0,0,0,3,0,0,C,720,280,1152,32620.83333,1791.666667
